,name,group,ndbno,Price ($),Quantity (g)
0,"Egg, duck, whole, fresh, raw",Dairy and Egg Products,1138,,
1,"Egg, goose, whole, fresh, raw",Dairy and Egg Products,1139,,
2,"Egg, quail, whole, fresh, raw",Dairy and Egg Products,1140,,
3,"Egg, turkey, whole, fresh, raw",Dairy and Egg Products,1141,,
4,"Egg, white, raw, fresh",Dairy and Egg Products,1124,1.39,480
5,"Egg, white, raw, frozen, pasteurized",Dairy and Egg Products,1172,,
6,"Egg, whole, raw, fresh",Dairy and Egg Products,1123,1.39,720
7,"Egg, whole, raw, frozen, pasteurized",Dairy and Egg Products,1171,,
8,"Egg, whole, raw, frozen, salted, pasteurized",Dairy and Egg Products,1255,,
9,"Egg, yolk, raw, fresh",Dairy and Egg Products,1125,,
10,"Egg, yolk, raw, frozen, pasteurized",Dairy and Egg Products,1126,,
11,"Egg, yolk, raw, frozen, salted, pasteurized",Dairy and Egg Products,1160,,
12,"Egg, yolk, raw, frozen, sugared, pasteurized",Dairy and Egg Products,1127,,
13,"Beans, snap, green, raw",Vegetables and Vegetable Products,11052,2.49,454
14,"Beet greens, raw",Vegetables and Vegetable Products,11086,,
15,"Cauliflower, green, raw",Vegetables and Vegetable Products,11965,,
16,"Chicory greens, raw",Vegetables and Vegetable Products,11152,,
18,"Dandelion greens, raw",Vegetables and Vegetable Products,11207,,
19,"Grapes, red or green (European type, such as Thompson seedless), raw",Fruits and Fruit Juices,9132,,
20,"Kiwifruit, green, raw",Fruits and Fruit Juices,9148,,
21,"Lettuce, green leaf, raw",Vegetables and Vegetable Products,11253,,
22,"Mustard greens, raw",Vegetables and Vegetable Products,11270,,
23,"Pears, raw, green anjou",Fruits and Fruit Juices,9415,,
24,"Peas, green, raw",Vegetables and Vegetable Products,11304,3.29,454
25,"Peas, green, split, mature seeds, raw",Legumes and Legume Products,16085,,
26,"Pepper, banana, raw",Vegetables and Vegetable Products,11976,,
29,"Peppers, hot chili, green, raw",Vegetables and Vegetable Products,11670,,
30,"Peppers, hot chili, red, raw",Vegetables and Vegetable Products,11819,,
31,"Peppers, hungarian, raw",Vegetables and Vegetable Products,11981,,
32,"Peppers, jalapeno, raw",Vegetables and Vegetable Products,11979,,
33,"Peppers, serrano, raw",Vegetables and Vegetable Products,11977,,
37,"Peppers, sweet, green, freeze-dried",Vegetables and Vegetable Products,11634,,
