Nutrient,Min,Max
Energy (kcal),1800,2200
Protein (g),160,180
Total lipid (fat) (g),90,100
"Carbohydrate, by difference (g)",200,300
"Fiber, total dietary (g)",30,100000
"Sugars, total (g)",0,100000
"Calcium, Ca (mg)",1000,100000
"Iron, Fe (mg)",8,100000
"Magnesium, Mg (mg)",420,100000
"Phosphorus, P (mg)",700,100000
"Potassium, K (mg)",0,100000
"Sodium, Na (mg)",0,100000
"Zinc, Zn (mg)",11,100000
"Vitamin C, total ascorbic acid (mg)",90,100000
Thiamin (mg),1.2,100000
Riboflavin (mg),1.3,100000
Niacin (mg),16,100000
Vitamin B-6 (mg),1.3,100000
"Folate, DFE (µg)",400,100000
Vitamin B-12 (µg),2.4,100000
"Vitamin A, RAE (µg)",900,100000
"Vitamin A, IU (IU)",0,100000
Vitamin E (alpha-tocopherol) (mg),15,100000
Vitamin D (D2 + D3) (µg),15,100000
Vitamin D (IU),0,100000
Vitamin K (phylloquinone) (µg),120,100000
"Fatty acids, total saturated (g)",0,100000
"Fatty acids, total monounsaturated (g)",0,100000
"Fatty acids, total polyunsaturated (g)",0,100000
"Fatty acids, total trans (g)",0,100000
Cholesterol (mg),0,300
Caffeine (mg),0,100000
